id,name_ukr,name_eng,gender,party,faction,convocation,date_oath,date_resignation,elected,age,education,specialization,committee,birthday,assistants,facebook,twitter
1,Абдуллін Олександр Рафкатович,Abdullin Oleksandr Rafkatovych,male,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,27.11.2014,,party system,52,higher education,parliament member,Committee on Freedom of Speech and Information,29.06.1962,15,,
2,Аваков Арсен Борисович,Avakov Arsen Borysovych,male,non-affiliated,,8,27.11.2014,02.12.2014,party system,51,higher education,government,,02.01.1964,0,https://www.facebook.com/arsen.avakov.1,https://twitter.com/AvakovArsen
3,Агафонова Наталія Володимирівна,Ahafonova Nataliya Volodymyrivna,female,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,37,higher education,parliament member,Committee on Rule of Law and Justice,19.09.1977,2,https://www.facebook.com/profile.php?id=100004181072834,
4,Алексєєв Ігор Сергійович,Aleksyeyev Ihor Serhiyovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,29,higher education,government,Committee on Rule of Law and Justice,23.04.1986,6,https://www.facebook.com/profile.php?id=100009322140452,
5,Алєксєєв Сергій Олегович,Alyeksyeyev Serhiy Olehovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,38,higher education,manager,Committee on Rule of Law and Justice,09.02.1977,19,https://www.facebook.com/deputy.alekseev/,
6,Амельченко Василь Васильович,Amel'chenko Vasyl' Vasyl'ovych,male,radikalna partiya olega lyashka,Radical Party of Oleg Lyashko,8,27.11.2014,,party system,52,higher education,adviser,Budget Committee,28.11.1962,25,https://www.facebook.com/vasiliy.amelchenko,
7,Андрієвський Дмитро Йосипович,Andriyevs'kyy Dmytro Yosypovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,48,higher education,parliament member,"Committee on Construction, Transport, Housing and Communal Services and Communications",06.01.1967,20,https://www.facebook.com/andrievsky.dmytro/,
8,Антонищак Андрій Федорович,Antonyshchak Andriy Fedorovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,45,higher education,self-employed,Tax and Customs Policy Committee,23.06.1969,28,https://www.facebook.com/profile.php?id=100007288305290,
10,Арешонков Володимир Юрійович,Areshonkov Volodymyr Yuriyovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,constituency,57,higher education,manager,"Committee on the Rules of Procedure, Parliamentary Ethics and Organization of the Verkhovna Rada of Ukraine",17.12.1957,10,https://www.facebook.com/profile.php?id=100009067737697,
9,Ар'єв Володимир Ігорович,"Ar""yev Volodymyr Ihorovych",male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,constituency,40,higher education,parliament member,Committee on Foreign Affairs,31.03.1975,27,https://www.facebook.com/volodymyr.ariev,https://twitter.com/VolodymyrAriev
11,Артеменко Андрій Вікторович,Artemenko Andriy Viktorovych,male,non-affiliated,Radical Party of Oleg Lyashko,8,27.11.2014,16.05.2017,party system,46,higher education,manager,,14.01.1969,0,https://www.facebook.com/andvicart,
12,Артюшенко Ігор Андрійович,Artyushenko Ihor Andriyovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,30,higher education,ngo,Committee on Combating Organized Crime and Corruption,21.09.1984,23,https://www.facebook.com/artjushenko.igor,
13,Атрошенко Владислав Анатолійович,Atroshenko Vladyslav Anatoliyovych,male,"partiya ""blok petra poroshenka""",,8,27.11.2014,28.01.2016,constituency,46,higher education,parliament member,,05.12.1968,0,,
14,Бабак Альона Валеріївна,Babak Al'ona Valeriyivna,female,non-affiliated,"""Obyednannya ""Samopomich""",8,27.11.2014,,party system,45,higher education,manager,"Committee on Construction, Transport, Housing and Communal Services and Communications",27.09.1969,7,,
15,Бабенко Валерій Борисович,Babenko Valeriy Borysovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,51,higher education,government,Committee on Informatization and Information Technologies,02.02.1964,15,https://www.facebook.com/valery.babenko.9,
16,Бабій Юрій Юрійович,Babiy Yuriy Yuriyovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.01.2015,,party system,37,higher education,parliament member,Tax and Customs Policy Committee,18.11.1977,7,,
